beat_index,RR_prev(s),RR_next(s),QRS_duration(s),R_amp,QRS_max,QRS_min,record_id,RR_prev(s),RR_next(s),QRS_duration(s),R_amp,QRS_max,QRS_min
1048,0.7722,0.7778,0.1,0.6772,0.6772,0.4214,100,,,,,,
1049,0.7778,0.7806,0.1,0.6963,0.6963,0.42,100,,,,,,
1050,0.7806,0.8,0.1,0.7101,0.7101,0.4182,100,,,,,,
1051,0.8,0.8167,0.1,0.6688,0.6688,0.4186,100,,,,,,
1052,0.8167,0.8389,0.1,0.6817,0.684,0.4188,100,,,,,,
1053,0.8389,0.8139,0.1,0.7125,0.7125,0.4209,100,,,,,,
1054,0.8139,0.8139,0.1,0.6923,0.6923,0.4189,100,,,,,,
1055,0.8139,0.7944,0.1,0.6943,0.6943,0.4171,100,,,,,,
1056,0.7944,0.7694,0.1,0.6748,0.6748,0.4191,100,,,,,,
1057,0.7694,0.7583,0.1,0.7115,0.7115,0.4218,100,,,,,,
1058,0.7583,0.8194,0.1,0.7065,0.7065,0.4181,100,,,,,,
1059,0.8194,0.8583,0.1,0.6839,0.6847,0.417,100,,,,,,
1060,0.8583,0.8389,0.1,0.6803,0.6803,0.4148,100,,,,,,
1061,0.8389,0.7722,0.1,0.6964,0.6964,0.4208,100,,,,,,
1062,0.7722,0.75,0.1,0.7038,0.7038,0.4181,100,,,,,,
1063,0.75,0.7889,0.1,0.6888,0.6888,0.4159,100,,,,,,
1064,0.7889,0.7972,0.1,0.6737,0.6737,0.4184,100,,,,,,
1065,0.7972,0.7833,0.1,0.6774,0.6806,0.4165,100,,,,,,
1066,0.7833,0.7889,0.1,0.7514,0.7514,0.4194,100,,,,,,
1067,0.7889,0.825,0.1,0.6977,0.6977,0.4133,100,,,,,,
1068,0.825,0.8417,0.1,0.6811,0.6811,0.4152,100,,,,,,
1069,0.8417,0.8139,0.1,0.6819,0.6851,0.416,100,,,,,,
1070,0.8139,0.7306,0.1,0.6945,0.6945,0.4169,100,,,,,,
1071,0.7306,0.75,0.1,0.7244,0.7244,0.4175,100,,,,,,
1072,0.75,0.8111,0.1,0.7106,0.7106,0.4161,100,,,,,,
1073,0.8111,0.8222,0.1,0.6714,0.6714,0.4076,100,,,,,,
1074,0.8222,0.7722,0.1,0.6851,0.6921,0.4144,100,,,,,,
1075,0.7722,0.7889,0.1,0.7045,0.7045,0.4151,100,,,,,,
1076,0.7889,0.8,0.1,0.682,0.682,0.4167,100,,,,,,
1077,0.8,0.7944,0.1,0.6992,0.6992,0.4186,100,,,,,,
1078,0.7944,0.5889,0.1,0.6694,0.6725,0.4185,100,,,,,,
1079,0.5889,0.9056,0.1,0.6974,0.6974,0.4091,100,,,,,,
1080,0.9056,0.8389,0.1,0.6952,0.6952,0.4188,100,,,,,,
1081,0.8389,0.8444,0.1,0.6755,0.6755,0.4162,100,,,,,,
1082,0.8444,0.8389,0.1,0.6706,0.6706,0.4203,100,,,,,,
1083,0.8389,0.8083,0.1,0.7228,0.7244,0.4228,100,,,,,,
1084,0.8083,0.7778,0.1,0.6872,0.6872,0.4193,100,,,,,,
1085,0.7778,0.6417,0.1,0.6779,0.6779,0.4179,100,,,,,,
1086,0.6417,0.8806,0.1,0.6726,0.6726,0.4224,100,,,,,,
1087,0.8806,0.7972,0.1,0.6649,0.6666,0.4155,100,,,,,,
1088,0.7972,0.7667,0.1,0.6906,0.6906,0.4203,100,,,,,,
1089,0.7667,0.7972,0.1,0.6882,0.6882,0.4224,100,,,,,,
1090,0.7972,0.8444,0.1,0.6727,0.6727,0.4211,100,,,,,,
1091,0.8444,0.8306,0.1,0.6785,0.6785,0.4195,100,,,,,,
1092,0.8306,0.7361,0.1,0.6981,0.7014,0.4234,100,,,,,,
1093,0.7361,0.7556,0.1,0.6877,0.6877,0.4192,100,,,,,,
1094,0.7556,0.7778,0.1,0.6762,0.6762,0.4154,100,,,,,,
1095,0.7778,0.8167,0.1,0.6631,0.6631,0.4207,100,,,,,,
1096,0.8167,0.8,0.1,0.6844,0.6918,0.4193,100,,,,,,
1097,0.8,0.7917,0.1,0.6969,0.6969,0.4172,100,,,,,,
1098,0.7917,0.8028,0.1,0.6957,0.6957,0.4173,100,,,,,,
1099,0.8028,0.8194,0.1,0.7004,0.7004,0.4191,100,,,,,,
1100,0.8194,0.775,0.1,0.6847,0.6847,0.4164,100,,,,,,
1101,0.775,0.7361,0.1,0.6931,0.6931,0.4202,100,,,,,,
1102,0.7361,0.7722,0.1,0.6793,0.6845,0.4174,100,,,,,,
1103,0.7722,0.6111,0.1,0.6738,0.6738,0.4198,100,,,,,,
1104,0.6111,1.0222,0.1,0.6899,0.6977,0.4174,100,,,,,,
1105,1.0222,0.875,0.1,0.6914,0.7005,0.4201,100,,,,,,
1106,0.875,0.8333,0.1,0.6929,0.6929,0.4204,100,,,,,,
1107,0.8333,0.7833,0.1,0.6964,0.6964,0.4218,100,,,,,,
1108,0.7833,0.7861,0.1,0.655,0.655,0.4147,100,,,,,,
1109,0.7861,0.8083,0.1,0.6905,0.6905,0.4208,100,,,,,,
1110,0.8083,0.8,0.1,0.6907,0.6907,0.4187,100,,,,,,
1111,0.8,0.8139,0.1,0.6759,0.6759,0.42,100,,,,,,
1112,0.8139,0.8222,0.1,0.6659,0.6659,0.4194,100,,,,,,
1113,0.8222,0.8389,0.1,0.6782,0.6782,0.4224,100,,,,,,
1114,0.8389,0.8139,0.1,0.7035,0.7035,0.4188,100,,,,,,
1115,0.8139,0.775,0.1,0.6839,0.6839,0.4204,100,,,,,,
1116,0.775,0.7722,0.1,0.6683,0.6683,0.4196,100,,,,,,
1117,0.7722,0.7972,0.1,0.684,0.684,0.4213,100,,,,,,
1118,0.7972,0.7944,0.1,0.7233,0.7339,0.4158,100,,,,,,
1119,0.7944,0.8167,0.1,0.6866,0.6866,0.4176,100,,,,,,
1120,0.8167,0.625,0.1,0.6805,0.6805,0.4182,100,,,,,,
1121,0.625,1.0,0.1,0.6675,0.6675,0.4158,100,,,,,,
1122,1.0,0.8139,0.1,0.6968,0.6968,0.4236,100,,,,,,
1123,0.8139,0.8083,0.1,0.6934,0.6934,0.4167,100,,,,,,
1124,0.8083,0.7833,0.1,0.6829,0.6829,0.4186,100,,,,,,
1125,0.7833,0.5889,0.1,0.6633,0.6633,0.4198,100,,,,,,
1126,0.5889,1.0083,0.1,0.6873,0.6873,0.4204,100,,,,,,
1127,1.0083,0.8833,0.1,0.7032,0.7044,0.4178,100,,,,,,
1128,0.8833,0.8361,0.1,0.688,0.6923,0.4149,100,,,,,,
1129,0.8361,0.8,0.1,0.6726,0.6726,0.4211,100,,,,,,
1130,0.8,0.8139,0.1,0.6915,0.6915,0.4192,100,,,,,,
1131,0.8139,0.7944,0.1,0.7044,0.7044,0.4208,100,,,,,,
1132,0.7944,0.8306,0.1,0.7,0.7,0.4178,100,,,,,,
1133,0.8306,0.8111,0.1,0.6699,0.6714,0.4175,100,,,,,,
1134,0.8111,0.8472,0.1,0.6776,0.6776,0.4171,100,,,,,,
1135,0.8472,0.8528,0.1,0.7106,0.7106,0.4198,100,,,,,,
1136,0.8528,0.8278,0.1,0.7027,0.7027,0.4136,100,,,,,,
1137,0.8278,0.7861,0.1,0.682,0.682,0.4169,100,,,,,,
1138,0.7861,0.7833,0.1,0.6669,0.6669,0.4201,100,,,,,,
1139,0.7833,0.7972,0.1,0.7118,0.7118,0.4192,100,,,,,,
1140,0.7972,0.8472,0.1,0.6964,0.6964,0.4154,100,,,,,,
1141,0.8472,0.8722,0.1,0.6924,0.6949,0.4132,100,,,,,,
1142,0.8722,0.8222,0.1,0.664,0.666,0.4111,100,,,,,,
1143,0.8222,0.8361,0.1,0.7193,0.7233,0.4205,100,,,,,,
1144,0.8361,0.8,0.1,0.7057,0.7057,0.4145,100,,,,,,
1145,0.8,0.7944,0.1,0.6941,0.6956,0.417,100,,,,,,
1146,0.7944,0.7778,0.1,0.68,0.68,0.4141,100,,,,,,
1147,0.7778,0.7972,0.1,0.7008,0.7008,0.4193,100,,,,,,
1148,0.7972,0.85,0.1,0.6889,0.6923,0.4205,100,,,,,,
1149,0.85,0.8528,0.1,0.7204,0.7218,0.4167,100,,,,,,
1150,0.8528,0.8417,0.1,0.7418,0.748,0.4159,100,,,,,,
1151,0.8417,0.8,0.1,0.6666,0.6666,0.4187,100,,,,,,
1152,0.8,0.8056,0.1,0.6733,0.6768,0.4203,100,,,,,,
1153,0.8056,0.8056,0.1,0.7017,0.7017,0.4189,100,,,,,,
1154,0.8056,0.8111,0.1,0.6965,0.6965,0.4139,100,,,,,,
1155,0.8111,0.8083,0.1,0.7033,0.7087,0.4169,100,,,,,,
1156,0.8083,0.8417,0.1,0.675,0.675,0.419,100,,,,,,
1157,0.8417,0.8361,0.1,0.7001,0.7001,0.4189,100,,,,,,
1158,0.8361,0.8417,0.1,0.6946,0.6973,0.417,100,,,,,,
1159,0.8417,0.7861,0.1,0.7139,0.7139,0.4135,100,,,,,,
1160,0.7861,0.7778,0.1,0.6586,0.6586,0.421,100,,,,,,
1161,0.7778,0.8139,0.1,0.671,0.671,0.4202,100,,,,,,
1162,0.8139,0.8444,0.1,0.6921,0.6921,0.4199,100,,,,,,
1163,0.8444,0.8556,0.1,0.68,0.68,0.4152,100,,,,,,
1164,0.8556,0.8194,0.1,0.6682,0.6682,0.4142,100,,,,,,
1165,0.8194,0.8472,0.1,0.6787,0.6787,0.4198,100,,,,,,
1166,0.8472,0.7972,0.1,0.6984,0.6984,0.4148,100,,,,,,
1167,0.7972,0.8139,0.1,0.6781,0.6781,0.4158,100,,,,,,
1168,0.8139,0.7917,0.1,0.7018,0.7018,0.4162,100,,,,,,
1169,0.7917,0.8056,0.1,0.6639,0.6639,0.4115,100,,,,,,
1170,0.8056,0.8583,0.1,0.6954,0.6954,0.4199,100,,,,,,
1171,0.8583,0.8583,0.1,0.6911,0.6911,0.417,100,,,,,,
1172,0.8583,0.8389,0.1,0.6779,0.6779,0.417,100,,,,,,
1173,0.8389,0.7778,0.1,0.6661,0.6661,0.4211,100,,,,,,
1174,0.7778,0.8028,0.1,0.6878,0.6878,0.4221,100,,,,,,
1175,0.8028,0.8,0.1,0.7207,0.7207,0.4218,100,,,,,,
1176,0.8,0.8111,0.1,0.679,0.679,0.4169,100,,,,,,
1177,0.8111,0.8194,0.1,0.662,0.662,0.4182,100,,,,,,
1178,0.8194,0.8333,0.1,0.676,0.676,0.4198,100,,,,,,
1179,0.8333,0.8472,0.1,0.6936,0.6936,0.4188,100,,,,,,
1180,0.8472,0.8194,0.1,0.6806,0.6808,0.4175,100,,,,,,
1181,0.8194,0.7778,0.1,0.6677,0.6677,0.4209,100,,,,,,
1182,0.7778,0.7694,0.1,0.6618,0.6618,0.419,100,,,,,,
1183,0.7694,0.7917,0.1,0.6913,0.6913,0.4222,100,,,,,,
1184,0.7917,0.8167,0.1,0.6828,0.6828,0.414,100,,,,,,
1185,0.8167,0.8333,0.1,0.6821,0.6849,0.4189,100,,,,,,
1186,0.8333,0.8389,0.1,0.6697,0.6715,0.4178,100,,,,,,
1187,0.8389,0.8056,0.1,0.7351,0.7366,0.4198,100,,,,,,
1188,0.8056,0.8083,0.1,0.6785,0.6785,0.4168,100,,,,,,
1189,0.8083,0.7861,0.1,0.684,0.6883,0.4203,100,,,,,,
1190,0.7861,0.7972,0.1,0.6836,0.6853,0.4183,100,,,,,,
1191,0.7972,0.8,0.1,0.6889,0.6889,0.4196,100,,,,,,
1192,0.8,0.8472,0.1,0.718,0.7241,0.4157,100,,,,,,
1193,0.8472,0.8389,0.1,0.6699,0.6699,0.419,100,,,,,,
1194,0.8389,0.8528,0.1,0.6705,0.6705,0.4206,100,,,,,,
1195,0.8528,0.8111,0.1,0.724,0.7331,0.4214,100,,,,,,
1196,0.8111,0.775,0.1,0.6862,0.6862,0.4147,100,,,,,,
1197,0.775,0.7972,0.1,0.7166,0.7166,0.416,100,,,,,,
1198,0.7972,0.8,0.1,0.7051,0.7051,0.4199,100,,,,,,
1199,0.8,0.8194,0.1,0.6932,0.6932,0.4219,100,,,,,,
1200,0.8194,0.8444,0.1,0.6992,0.6992,0.4182,100,,,,,,
1201,0.8444,0.8472,0.1,0.6918,0.6918,0.4179,100,,,,,,
1202,0.8472,0.8056,0.1,0.6643,0.6643,0.4065,100,,,,,,
1203,0.8056,0.8111,0.1,0.6741,0.6741,0.419,100,,,,,,
1204,0.8111,0.7806,0.1,0.7094,0.7094,0.4209,100,,,,,,
1205,0.7806,0.7639,0.1,0.684,0.684,0.4152,100,,,,,,
1206,0.7639,0.8139,0.1,0.6742,0.6742,0.415,100,,,,,,
1207,0.8139,0.8167,0.1,0.6806,0.6891,0.4149,100,,,,,,
1208,0.8167,0.8222,0.1,0.6896,0.6896,0.4155,100,,,,,,
1209,0.8222,0.8056,0.1,0.6996,0.6996,0.4165,100,,,,,,
1210,0.8056,0.7889,0.1,0.6873,0.6873,0.4156,100,,,,,,
1211,0.7889,0.7694,0.1,0.7112,0.7112,0.4174,100,,,,,,
1212,0.7694,0.7972,0.1,0.6664,0.6664,0.4186,100,,,,,,
1213,0.7972,0.7944,0.1,0.7223,0.7223,0.4228,100,,,,,,
1214,0.7944,0.7944,0.1,0.6829,0.6829,0.4146,100,,,,,,
1215,0.7944,0.8528,0.1,0.6766,0.6766,0.4142,100,,,,,,
1216,0.8528,0.8194,0.1,0.6681,0.6714,0.4187,100,,,,,,
1217,0.8194,0.8083,0.1,0.7105,0.7105,0.4214,100,,,,,,
1218,0.8083,0.8,0.1,0.7088,0.7088,0.4181,100,,,,,,
1219,0.8,0.5778,0.1,0.6798,0.6798,0.4175,100,,,,,,
1220,0.5778,0.9528,0.1,0.6544,0.6544,0.4173,100,,,,,,
1221,0.9528,0.8528,0.1,0.6743,0.6749,0.4121,100,,,,,,
1222,0.8528,0.8472,0.1,0.7009,0.7009,0.4199,100,,,,,,
1223,0.8472,0.8444,0.1,0.6896,0.6896,0.4192,100,,,,,,
1224,0.8444,0.8444,0.1,0.6681,0.6681,0.4138,100,,,,,,
1225,0.8444,0.8083,0.1,0.7107,0.7107,0.4182,100,,,,,,
1226,0.8083,0.7667,0.1,0.7046,0.7046,0.4133,100,,,,,,
1227,0.7667,0.7972,0.1,0.6829,0.6829,0.4143,100,,,,,,
1228,0.7972,0.7806,0.1,0.6704,0.6704,0.4005,100,,,,,,
1229,0.7806,0.8389,0.1,0.7026,0.7026,0.4211,100,,,,,,
1230,0.8389,0.8556,0.1,0.6848,0.6848,0.4124,100,,,,,,
1231,0.8556,0.8278,0.1,0.7036,0.7036,0.4185,100,,,,,,
1232,0.8278,0.7833,0.1,0.6774,0.6774,0.4145,100,,,,,,
1233,0.7833,0.8,0.1,0.6679,0.6679,0.4177,100,,,,,,
1234,0.8,0.7917,0.1,0.6793,0.6793,0.4148,100,,,,,,
1235,0.7917,0.6,0.1,0.708,0.708,0.4189,100,,,,,,
1236,0.6,0.9444,0.1,0.6947,0.6947,0.4123,100,,,,,,
1237,0.9444,0.8167,0.1,0.6869,0.6869,0.4195,100,,,,,,
1238,0.8167,0.8361,0.1,0.6721,0.6721,0.4109,100,,,,,,
1239,0.8361,0.8194,0.1,0.7053,0.7053,0.4163,100,,,,,,
1240,0.8194,0.7639,0.1,0.6852,0.6852,0.4158,100,,,,,,
1241,0.7639,0.7528,0.1,0.6644,0.6644,0.4186,100,,,,,,
1242,0.7528,0.8056,0.1,0.6693,0.6693,0.4196,100,,,,,,
1243,0.8056,0.7917,0.1,0.698,0.7113,0.4164,100,,,,,,
1244,0.7917,0.8222,0.1,0.6953,0.6953,0.4165,100,,,,,,
1245,0.8222,0.8278,0.1,0.6846,0.6868,0.4108,100,,,,,,
1246,0.8278,0.8083,0.1,0.674,0.674,0.4219,100,,,,,,
1247,0.8083,0.8278,0.1,0.6887,0.6887,0.4229,100,,,,,,
1248,0.8278,0.7972,0.1,0.707,0.707,0.4144,100,,,,,,
1249,0.7972,0.7694,0.1,0.6852,0.6852,0.4147,100,,,,,,
1250,0.7694,0.775,0.1,0.6693,0.6693,0.4152,100,,,,,,
1251,0.775,0.8528,0.1,0.6839,0.6839,0.4159,100,,,,,,
1252,0.8528,0.8278,0.1,0.7115,0.7115,0.4189,100,,,,,,
1253,0.8278,0.8194,0.1,0.7002,0.7002,0.417,100,,,,,,
1254,0.8194,0.7972,0.1,0.6795,0.6795,0.4183,100,,,,,,
1255,0.7972,0.7833,0.1,0.6831,0.6851,0.4184,100,,,,,,
1256,0.7833,0.7861,0.1,0.7067,0.7169,0.4188,100,,,,,,
1257,0.7861,0.8056,0.1,0.7196,0.7196,0.4143,100,,,,,,
1258,0.8056,0.7944,0.1,0.6884,0.6884,0.4152,100,,,,,,
1259,0.7944,0.8222,0.1,0.6846,0.6846,0.415,100,,,,,,
1260,0.8222,0.85,0.1,0.6982,0.706,0.4108,100,,,,,,
1261,0.85,0.8278,0.1,0.7166,0.7221,0.4194,100,,,,,,
1262,0.8278,0.775,0.1,0.7307,0.7307,0.4205,100,,,,,,
1263,0.775,0.7472,0.1,0.6757,0.6757,0.4104,100,,,,,,
1264,0.7472,0.7472,0.1,0.6667,0.6667,0.4171,100,,,,,,
1265,0.7472,0.775,0.1,0.659,0.659,0.4155,100,,,,,,
1266,0.775,0.8028,0.1,0.6777,0.6777,0.4159,100,,,,,,
1267,0.8028,0.8111,0.1,0.6843,0.6843,0.4159,100,,,,,,
1268,0.8111,0.8,0.1,0.6963,0.6963,0.4171,100,,,,,,
1269,0.8,0.8111,0.1,0.6939,0.6947,0.4184,100,,,,,,
1270,0.8111,0.7833,0.1,0.6901,0.7012,0.4138,100,,,,,,
1271,0.7833,0.7472,0.1,0.7469,0.7497,0.416,100,,,,,,
1272,0.7472,0.7444,0.1,0.6999,0.6999,0.4116,100,,,,,,
1273,0.7444,0.8028,0.1,0.6827,0.6827,0.4173,100,,,,,,
1274,0.8028,0.7806,0.1,0.6961,0.6961,0.4168,100,,,,,,
1275,0.7806,0.8167,0.1,0.7197,0.7197,0.4165,100,,,,,,
1276,0.8167,0.8111,0.1,0.7076,0.7082,0.4158,100,,,,,,
1277,0.8111,0.8,0.1,0.6834,0.6834,0.4162,100,,,,,,
1278,0.8,0.7556,0.1,0.6924,0.6924,0.4132,100,,,,,,
1279,0.7556,0.7778,0.1,0.6983,0.6983,0.4146,100,,,,,,
1280,0.7778,0.8,0.1,0.6837,0.6837,0.4155,100,,,,,,
1281,0.8,0.7889,0.1,0.6725,0.6725,0.4161,100,,,,,,
1282,0.7889,0.8111,0.1,0.6997,0.7047,0.4137,100,,,,,,
1283,0.8111,0.8556,0.1,0.6918,0.6918,0.4159,100,,,,,,
1284,0.8556,0.8611,0.1,0.6896,0.6896,0.418,100,,,,,,
1285,0.8611,0.7611,0.1,0.6853,0.6853,0.4149,100,,,,,,
1286,0.7611,0.7694,0.1,0.7142,0.7142,0.4155,100,,,,,,
1287,0.7694,0.8083,0.1,0.6917,0.6917,0.4135,100,,,,,,
1288,0.8083,0.8222,0.1,0.6936,0.6944,0.4163,100,,,,,,
1289,0.8222,0.7917,0.1,0.6992,0.6992,0.4169,100,,,,,,
1290,0.7917,0.8333,0.1,0.6943,0.6943,0.414,100,,,,,,
1291,0.8333,0.8639,0.1,0.6794,0.6794,0.4197,100,,,,,,
1292,0.8639,0.7944,0.1,0.6898,0.6898,0.4177,100,,,,,,
1293,0.7944,0.7972,0.1,0.7079,0.7079,0.4138,100,,,,,,
1294,0.7972,0.7889,0.1,0.6841,0.6841,0.4139,100,,,,,,
1295,0.7889,0.8139,0.1,0.6739,0.6739,0.4159,100,,,,,,
1296,0.8139,0.7917,0.1,0.6952,0.6952,0.4201,100,,,,,,
1297,0.7917,0.8361,0.1,0.7083,0.7141,0.4102,100,,,,,,
1298,0.8361,0.8444,0.1,0.6927,0.6927,0.4143,100,,,,,,
1299,0.8444,0.8222,0.1,0.6706,0.6706,0.4142,100,,,,,,
1300,0.8222,0.7472,0.1,0.7417,0.7441,0.4155,100,,,,,,
1301,0.7472,0.7722,0.1,0.6969,0.6969,0.413,100,,,,,,
1302,0.7722,0.7917,0.1,0.6888,0.6888,0.4178,100,,,,,,
1303,0.7917,0.8028,0.1,0.6762,0.6762,0.4163,100,,,,,,
1304,0.8028,0.7639,0.1,0.6934,0.6934,0.4182,100,,,,,,
1305,0.7639,0.825,0.1,0.7169,0.7169,0.4103,100,,,,,,
1306,0.825,0.8444,0.1,0.6894,0.6894,0.4138,100,,,,,,
1307,0.8444,0.8111,0.1,0.6772,0.6772,0.4189,100,,,,,,
1308,0.8111,0.7167,0.1,0.7205,0.7209,0.4194,100,,,,,,
1309,0.7167,0.7694,0.1,0.7029,0.7029,0.4162,100,,,,,,
1310,0.7694,0.8028,0.1,0.7332,0.7332,0.4151,100,,,,,,
1311,0.8028,0.8472,0.1,0.6746,0.6751,0.4155,100,,,,,,
1312,0.8472,0.7889,0.1,0.6991,0.6991,0.4189,100,,,,,,
1313,0.7889,0.8,0.1,0.7172,0.7172,0.4017,100,,,,,,
1314,0.8,0.8417,0.1,0.6994,0.6994,0.416,100,,,,,,
1315,0.8417,0.8111,0.1,0.6915,0.695,0.416,100,,,,,,
1316,0.8111,0.7222,0.1,0.7059,0.7059,0.4192,100,,,,,,
1317,0.7222,0.7472,0.1,0.715,0.715,0.4159,100,,,,,,
1318,0.7472,0.8,0.1,0.6917,0.6917,0.416,100,,,,,,
1319,0.8,0.8417,0.1,0.681,0.681,0.4147,100,,,,,,
1320,0.8417,0.7861,0.1,0.7101,0.7101,0.4202,100,,,,,,
1321,0.7861,0.8028,0.1,0.7125,0.7125,0.4141,100,,,,,,
1322,0.8028,0.8028,0.1,0.6962,0.6962,0.4183,100,,,,,,
1323,0.8028,0.7917,0.1,0.6792,0.6792,0.4177,100,,,,,,
1324,0.7917,0.6111,0.1,0.703,0.703,0.4198,100,,,,,,
1325,0.6111,0.8972,0.1,0.7248,0.7248,0.4036,100,,,,,,
1326,0.8972,0.8222,0.1,0.6963,0.6963,0.4182,100,,,,,,
1327,0.8222,0.8472,0.1,0.6863,0.6863,0.4155,100,,,,,,
1328,0.8472,0.8417,0.1,0.7127,0.7127,0.4208,100,,,,,,
1329,0.8417,0.8333,0.1,0.7121,0.7125,0.4193,100,,,,,,
1330,0.8333,0.7722,0.1,0.6998,0.6998,0.4178,100,,,,,,
1331,0.7722,0.7583,0.1,0.7302,0.7302,0.4146,100,,,,,,
1332,0.7583,0.7778,0.1,0.7243,0.7243,0.4229,100,,,,,,
1333,0.7778,0.8111,0.1,0.7155,0.7218,0.4163,100,,,,,,
1334,0.8111,0.8111,0.1,0.7511,0.7511,0.4155,100,,,,,,
1335,0.8111,0.8028,0.1,0.6814,0.6814,0.4124,100,,,,,,
1336,0.8028,0.8278,0.1,0.6977,0.6977,0.4217,100,,,,,,
1337,0.8278,0.8,0.1,0.7171,0.7171,0.4167,100,,,,,,
1338,0.8,0.7639,0.1,0.7019,0.7021,0.4156,100,,,,,,
1339,0.7639,0.775,0.1,0.6841,0.6841,0.4159,100,,,,,,
1340,0.775,0.7556,0.1,0.7101,0.7117,0.4205,100,,,,,,
1341,0.7556,0.8056,0.1,0.7268,0.7337,0.4171,100,,,,,,
1342,0.8056,0.8167,0.1,0.7216,0.728,0.4179,100,,,,,,
1343,0.8167,0.8306,0.1,0.6795,0.6795,0.4156,100,,,,,,
1344,0.8306,0.8,0.1,0.7387,0.7481,0.4178,100,,,,,,
1345,0.8,0.8,0.1,0.6963,0.6963,0.4155,100,,,,,,
1346,0.8,0.7611,0.1,0.6739,0.6739,0.4186,100,,,,,,
1347,0.7611,0.7944,0.1,0.6728,0.6728,0.4084,100,,,,,,
1348,0.7944,0.7889,0.1,0.7043,0.7043,0.419,100,,,,,,
1349,0.7889,0.8056,0.1,0.6919,0.6919,0.4194,100,,,,,,
1350,0.8056,0.825,0.1,0.6981,0.6981,0.415,100,,,,,,
1351,0.825,0.8361,0.1,0.6679,0.6712,0.4205,100,,,,,,
1352,0.8361,0.8056,0.1,0.6991,0.6991,0.4216,100,,,,,,
1353,0.8056,0.7833,0.1,0.6956,0.6956,0.4178,100,,,,,,
1354,0.7833,0.7806,0.1,0.7073,0.7073,0.4185,100,,,,,,
1355,0.7806,0.7833,0.1,0.6595,0.661,0.4171,100,,,,,,
1356,0.7833,0.8306,0.1,0.6818,0.6818,0.4244,100,,,,,,
1357,0.8306,0.8333,0.1,0.7032,0.7032,0.4158,100,,,,,,
1358,0.8333,0.8111,0.1,0.6886,0.6886,0.4147,100,,,,,,
1359,0.8111,0.8333,0.1,0.6749,0.6749,0.4175,100,,,,,,
1360,0.8333,0.8111,0.1,0.6863,0.6909,0.4109,100,,,,,,
1361,0.8111,0.7722,0.1,0.695,0.695,0.4151,100,,,,,,
1362,0.7722,0.7583,0.1,0.6813,0.6813,0.4191,100,,,,,,
1363,0.7583,0.8028,0.1,0.6659,0.6659,0.4164,100,,,,,,
1364,0.8028,0.8278,0.1,0.7223,0.7223,0.421,100,,,,,,
1365,0.8278,0.8556,0.1,0.6975,0.7041,0.4118,100,,,,,,
1366,0.8556,0.8278,0.1,0.7018,0.7042,0.4167,100,,,,,,
1367,0.8278,0.7944,0.1,0.6709,0.6709,0.4086,100,,,,,,
1368,0.7944,0.825,0.1,0.6909,0.6909,0.4258,100,,,,,,
1369,0.825,0.8028,0.1,0.701,0.701,0.4171,100,,,,,,
1370,0.8028,0.7917,0.1,0.6762,0.6762,0.4184,100,,,,,,
1371,0.7917,0.8222,0.1,0.666,0.666,0.4178,100,,,,,,
1372,0.8222,0.8583,0.1,0.689,0.689,0.4247,100,,,,,,
1373,0.8583,0.8472,0.1,0.6889,0.6889,0.4183,100,,,,,,
1374,0.8472,0.825,0.1,0.7124,0.7124,0.4163,100,,,,,,
1375,0.825,0.7861,0.1,0.661,0.661,0.418,100,,,,,,
1376,0.7861,0.7778,0.1,0.6881,0.6881,0.422,100,,,,,,
1377,0.7778,0.8028,0.1,0.6994,0.6994,0.4176,100,,,,,,
1378,0.8028,0.7972,0.1,0.6818,0.6818,0.4184,100,,,,,,
1379,0.7972,0.825,0.1,0.6669,0.6669,0.4191,100,,,,,,
1380,0.825,0.8333,0.1,0.7001,0.7001,0.4202,100,,,,,,
1381,0.8333,0.825,0.1,0.6953,0.6953,0.4177,100,,,,,,
1382,0.825,0.7861,0.1,0.6936,0.6936,0.4184,100,,,,,,
1383,0.7861,0.7944,0.1,0.6673,0.6673,0.4164,100,,,,,,
1384,0.7944,0.7667,0.1,0.7004,0.7004,0.4232,100,,,,,,
1385,0.7667,0.7833,0.1,0.6866,0.6866,0.4164,100,,,,,,
1386,0.7833,0.8194,0.1,0.6764,0.6764,0.4188,100,,,,,,
1387,0.8194,0.8472,0.1,0.6767,0.6767,0.4169,100,,,,,,
1388,0.8472,0.8222,0.1,0.7043,0.7043,0.4169,100,,,,,,
1389,0.8222,0.8111,0.1,0.6906,0.6906,0.4147,100,,,,,,
1390,0.8111,0.775,0.1,0.6833,0.6833,0.4142,100,,,,,,
1391,0.775,0.7917,0.1,0.6639,0.6639,0.414,100,,,,,,
1392,0.7917,0.8111,0.1,0.7072,0.7072,0.4216,100,,,,,,
1393,0.8111,0.8,0.1,0.6884,0.6884,0.4172,100,,,,,,
1394,0.8,0.5611,0.1,0.6811,0.6824,0.4152,100,,,,,,
1395,0.5611,1.025,0.1,0.6613,0.669,0.4244,100,,,,,,
1396,1.025,0.8417,0.1,0.7019,0.7019,0.422,100,,,,,,
1397,0.8417,0.7972,0.1,0.6907,0.6907,0.4134,100,,,,,,
1398,0.7972,0.7639,0.1,0.6743,0.6743,0.4165,100,,,,,,
1399,0.7639,0.7889,0.1,0.6757,0.6757,0.4137,100,,,,,,
