beat_index,RR_prev(s),RR_next(s),Heart_Rate(bpm),QRS_duration(s),R_amp,QRS_max,QRS_min
413,0.7833,0.7944,76.5957,0.1,0.725,0.775,-0.64
414,0.7944,0.8306,75.5245,0.1,0.795,0.795,-0.57
415,0.8306,0.8333,72.2408,0.1,0.845,0.845,-0.595
416,0.8333,0.8722,72.0,0.1,0.88,0.88,-0.55
417,0.8722,0.8611,68.7898,0.1,0.705,0.76,-0.605
418,0.8611,0.8444,69.6774,0.1,0.73,0.755,-0.67
419,0.8444,0.7917,71.0526,0.1,0.805,0.825,-0.585
420,0.7917,0.7806,75.7895,0.1,0.81,0.83,-0.555
421,0.7806,0.8056,76.8683,0.1,0.89,0.89,-0.525
422,0.8056,0.8056,74.4828,0.1,0.76,0.855,-0.6
423,0.8056,0.8333,74.4828,0.1,0.84,0.865,-0.5
424,0.8333,0.8611,72.0,0.1,0.765,0.765,-0.565
425,0.8611,0.8444,69.6774,0.1,0.795,0.795,-0.61
426,0.8444,0.7556,71.0526,0.1,0.8,0.8,-0.57
427,0.7556,0.7917,79.4118,0.1,0.8,0.8,-0.525
428,0.7917,0.7944,75.7895,0.1,0.805,0.845,-0.63
429,0.7944,0.7444,75.5245,0.1,0.775,0.775,-0.605
430,0.7444,0.7917,80.597,0.1,0.79,0.825,-0.53
431,0.7917,0.8194,75.7895,0.1,0.82,0.82,-0.55
432,0.8194,0.8139,73.2203,0.1,0.765,0.765,-0.645
433,0.8139,0.7722,73.7201,0.1,0.785,0.825,-0.545
434,0.7722,0.7694,77.6978,0.1,0.845,0.845,-0.5
435,0.7694,0.7583,77.9783,0.1,0.78,0.825,-0.55
436,0.7583,0.75,79.1209,0.1,0.8,0.8,-0.52
437,0.75,0.775,80.0,0.1,0.805,0.825,-0.535
438,0.775,0.8,77.4194,0.1,0.755,0.755,-0.6
439,0.8,0.8056,75.0,0.1,0.765,0.795,-0.605
440,0.8056,0.8028,74.4828,0.1,0.85,0.885,-0.52
441,0.8028,0.5361,74.7405,0.1,0.91,0.98,-0.51
442,0.5361,0.9389,111.9171,0.1,0.95,0.995,-0.49
443,0.9389,0.7639,63.9053,0.1,0.89,0.89,-0.71
444,0.7639,0.7222,78.5455,0.1,0.8,0.8,-0.775
445,0.7222,0.7556,83.0769,0.1,0.995,0.995,-0.54
446,0.7556,0.8028,79.4118,0.1,0.905,0.96,-0.52
447,0.8028,0.775,74.7405,0.1,0.9,0.92,-0.505
448,0.775,0.7194,77.4194,0.1,0.955,0.975,-0.5
449,0.7194,0.725,83.3977,0.1,0.95,0.95,-0.485
450,0.725,0.6944,82.7586,0.1,0.935,0.935,-0.475
451,0.6944,0.6944,86.4,0.1,0.975,0.975,-0.53
452,0.6944,0.7083,86.4,0.1,0.785,0.875,-0.635
453,0.7083,0.7028,84.7059,0.1,0.81,0.87,-0.59
454,0.7028,0.7167,85.3755,0.1,0.875,0.91,-0.585
455,0.7167,0.7417,83.7209,0.1,0.815,0.84,-0.55
456,0.7417,0.7528,80.8989,0.1,1.08,1.155,-0.515
457,0.7528,0.7194,79.7048,0.1,0.95,0.95,-0.51
458,0.7194,0.6889,83.3977,0.1,0.93,0.93,-0.515
459,0.6889,0.7056,87.0968,0.1,0.83,0.83,-0.55
460,0.7056,0.6917,85.0394,0.1,0.89,0.89,-0.575
461,0.6917,0.7167,86.747,0.1,0.85,0.85,-0.6
462,0.7167,0.7556,83.7209,0.1,0.72,0.72,-0.635
463,0.7556,0.7528,79.4118,0.1,0.75,0.795,-0.625
464,0.7528,0.7333,79.7048,0.1,0.885,0.885,-0.58
465,0.7333,0.7389,81.8182,0.1,0.865,0.865,-0.515
466,0.7389,0.7611,81.203,0.1,0.76,0.785,-0.53
467,0.7611,0.7028,78.8321,0.1,0.79,0.795,-0.52
468,0.7028,0.7028,85.3755,0.1,0.925,0.925,-0.535
469,0.7028,0.725,85.3755,0.1,0.835,0.835,-0.54
470,0.725,0.7667,82.7586,0.1,0.83,0.865,-0.555
471,0.7667,0.7806,78.2609,0.1,0.855,0.895,-0.47
472,0.7806,0.8028,76.8683,0.1,0.915,0.915,-0.49
473,0.8028,0.7778,74.7405,0.1,0.79,0.825,-0.485
474,0.7778,0.7472,77.1429,0.1,0.96,0.96,-0.55
475,0.7472,0.7528,80.2974,0.1,0.895,0.895,-0.53
476,0.7528,0.775,79.7048,0.1,0.765,0.795,-0.555
477,0.775,0.7778,77.4194,0.1,0.775,0.775,-0.535
478,0.7778,0.775,77.1429,0.1,0.87,0.87,-0.545
479,0.775,0.8222,77.4194,0.1,0.875,0.875,-0.485
480,0.8222,0.8167,72.973,0.1,0.795,0.795,-0.525
481,0.8167,0.8056,73.4694,0.1,0.875,0.945,-0.53
482,0.8056,0.7667,74.4828,0.1,0.78,0.795,-0.52
483,0.7667,0.7667,78.2609,0.1,0.78,0.78,-0.495
484,0.7667,0.775,78.2609,0.1,0.81,0.81,-0.515
485,0.775,0.8056,77.4194,0.1,0.85,0.86,-0.49
486,0.8056,0.8139,74.4828,0.1,0.755,0.79,-0.52
487,0.8139,0.825,73.7201,0.1,0.975,0.975,-0.515
488,0.825,0.7833,72.7273,0.1,0.825,0.825,-0.525
489,0.7833,0.7528,76.5957,0.1,0.81,0.835,-0.485
490,0.7528,0.7528,79.7048,0.1,0.755,0.755,-0.53
491,0.7528,0.725,79.7048,0.1,0.795,0.795,-0.595
492,0.725,0.7194,82.7586,0.1,0.92,0.92,-0.555
493,0.7194,0.7333,83.3977,0.1,0.785,0.785,-0.625
494,0.7333,0.7556,81.8182,0.1,0.96,0.96,-0.255
495,0.7556,0.7444,79.4118,0.1,0.895,0.92,-0.475
496,0.7444,0.7306,80.597,0.1,0.695,0.695,-0.6
497,0.7306,0.7083,82.1293,0.1,0.665,0.72,-0.64
498,0.7083,0.6944,84.7059,0.1,0.695,0.695,-0.635
499,0.6944,0.6972,86.4,0.1,0.785,0.785,-0.61
500,0.6972,0.7194,86.0558,0.1,0.795,0.795,-0.56
501,0.7194,0.725,83.3977,0.1,0.75,0.75,-0.595
502,0.725,0.7528,82.7586,0.1,0.825,0.825,-0.605
503,0.7528,0.7639,79.7048,0.1,0.8,0.835,-0.565
504,0.7639,0.775,78.5455,0.1,0.855,0.855,-0.55
505,0.775,0.75,77.4194,0.1,0.765,0.78,-0.545
506,0.75,0.7389,80.0,0.1,0.79,0.82,-0.595
507,0.7389,0.7083,81.203,0.1,0.86,0.86,-0.525
508,0.7083,0.7444,84.7059,0.1,0.765,0.79,-0.47
509,0.7444,0.7639,80.597,0.1,0.88,0.88,-0.515
510,0.7639,0.8111,78.5455,0.1,0.86,0.875,-0.545
511,0.8111,0.7667,73.9726,0.1,0.925,0.925,-0.57
512,0.7667,0.7694,78.2609,0.1,0.905,0.905,-0.48
513,0.7694,0.7639,77.9783,0.1,0.96,0.96,-0.545
514,0.7639,0.7417,78.5455,0.1,0.935,0.935,-0.555
515,0.7417,0.7417,80.8989,0.1,0.94,0.985,-0.475
516,0.7417,0.7333,80.8989,0.1,0.915,0.915,-0.515
517,0.7333,0.7611,81.8182,0.1,0.89,1.025,-0.555
518,0.7611,0.775,78.8321,0.1,0.895,0.93,-0.54
519,0.775,0.8,77.4194,0.1,0.875,0.875,-0.545
520,0.8,0.7889,75.0,0.1,1.015,1.025,-0.52
521,0.7889,0.7778,76.0563,0.1,0.865,0.865,-0.585
522,0.7778,0.7278,77.1429,0.1,0.895,0.95,-0.52
523,0.7278,0.7583,82.4427,0.1,0.93,0.93,-0.505
524,0.7583,0.7556,79.1209,0.1,0.89,0.895,-0.54
525,0.7556,0.7611,79.4118,0.1,0.845,0.885,-0.57
526,0.7611,0.7583,78.8321,0.1,0.88,0.88,-0.56
527,0.7583,0.7917,79.1209,0.1,0.8,0.825,-0.575
528,0.7917,0.8139,75.7895,0.1,0.8,0.8,-0.61
529,0.8139,0.7611,73.7201,0.1,0.98,0.98,-0.585
530,0.7611,0.7306,78.8321,0.1,0.88,0.88,-0.565
531,0.7306,0.7583,82.1293,0.1,0.88,0.88,-0.54
532,0.7583,0.7528,79.1209,0.1,0.84,0.895,-0.585
533,0.7528,0.7944,79.7048,0.1,0.84,0.85,-0.57
534,0.7944,0.8194,75.5245,0.1,0.825,0.825,-0.59
535,0.8194,0.7833,73.2203,0.1,0.775,0.775,-0.64
536,0.7833,0.7722,76.5957,0.1,0.82,0.82,-0.615
537,0.7722,0.7528,77.6978,0.1,0.79,0.815,-0.61
538,0.7528,0.7694,79.7048,0.1,0.865,0.865,-0.535
539,0.7694,0.7528,77.9783,0.1,0.8,0.85,-0.595
540,0.7528,0.7444,79.7048,0.1,0.83,0.835,-0.575
541,0.7444,0.7833,80.597,0.1,0.785,0.785,-0.57
542,0.7833,0.825,76.5957,0.1,0.79,0.795,-0.63
543,0.825,0.7694,72.7273,0.1,0.87,0.9,-0.56
544,0.7694,0.7417,77.9783,0.1,0.985,0.985,-0.575
545,0.7417,0.7306,80.8989,0.1,0.9,0.935,-0.525
546,0.7306,0.7028,82.1293,0.1,0.985,0.985,-0.52
547,0.7028,0.7167,85.3755,0.1,1.04,1.04,-0.46
548,0.7167,0.7278,83.7209,0.1,0.945,0.945,-0.53
549,0.7278,0.7278,82.4427,0.1,0.97,1.01,-0.515
550,0.7278,0.7361,82.4427,0.1,1.045,1.09,-0.475
551,0.7361,0.7361,81.5094,0.1,0.985,1.025,-0.48
552,0.7361,0.7583,81.5094,0.1,0.855,0.855,-0.585
553,0.7583,0.7111,79.1209,0.1,0.905,0.98,-0.63
554,0.7111,0.6694,84.375,0.1,0.925,0.995,-0.59
555,0.6694,0.6778,89.6266,0.1,0.895,0.895,-0.57
556,0.6778,0.6972,88.5246,0.1,0.9,0.9,-0.65
557,0.6972,0.7056,86.0558,0.1,0.95,1.025,-0.575
558,0.7056,0.7194,85.0394,0.1,0.94,0.99,-0.555
559,0.7194,0.7306,83.3977,0.1,0.89,0.89,-0.565
560,0.7306,0.7194,82.1293,0.1,0.815,0.835,-0.65
561,0.7194,0.6861,83.3977,0.1,0.935,0.935,-0.625
562,0.6861,0.6889,87.4494,0.1,0.885,0.885,-0.58
563,0.6889,0.6944,87.0968,0.1,0.945,0.945,-0.6
564,0.6944,0.6917,86.4,0.1,0.845,0.845,-0.645
565,0.6917,0.6806,86.747,0.1,0.995,1.0,-0.6
566,0.6806,0.7361,88.1633,0.1,0.87,1.0,-0.53
567,0.7361,0.7528,81.5094,0.1,0.825,0.885,-0.545
568,0.7528,0.7583,79.7048,0.1,0.825,0.835,-0.585
569,0.7583,0.7361,79.1209,0.1,0.94,1.01,-0.55
570,0.7361,0.7278,81.5094,0.1,0.915,0.95,-0.545
571,0.7278,0.7167,82.4427,0.1,0.795,0.84,-0.6
572,0.7167,0.7472,83.7209,0.1,0.83,0.83,-0.605
573,0.7472,0.7417,80.2974,0.1,0.94,0.95,-0.625
574,0.7417,0.75,80.8989,0.1,0.92,0.93,-0.56
575,0.75,0.7861,80.0,0.1,0.845,0.845,-0.615
576,0.7861,0.775,76.3251,0.1,0.86,0.86,-0.675
577,0.775,0.75,77.4194,0.1,0.955,0.955,-0.615
578,0.75,0.7222,80.0,0.1,0.925,0.925,-0.58
579,0.7222,0.7083,83.0769,0.1,0.825,0.885,-0.56
580,0.7083,0.7028,84.7059,0.1,0.91,0.91,-0.515
581,0.7028,0.7139,85.3755,0.1,0.84,0.84,-0.57
582,0.7139,0.7667,84.0467,0.1,0.835,0.835,-0.54
583,0.7667,0.7472,78.2609,0.1,0.855,0.93,-0.545
584,0.7472,0.7472,80.2974,0.1,0.83,0.83,-0.58
585,0.7472,0.7528,80.2974,0.1,0.76,0.76,-0.6
586,0.7528,0.75,79.7048,0.1,0.755,0.785,-0.595
587,0.75,0.7222,80.0,0.1,0.815,0.85,-0.61
588,0.7222,0.75,83.0769,0.1,0.9,0.9,-0.5
589,0.75,0.7528,80.0,0.1,0.8,0.8,-0.535
590,0.7528,0.775,79.7048,0.1,0.765,0.765,-0.605
591,0.775,0.8139,77.4194,0.1,0.765,0.765,-0.635
592,0.8139,0.8333,73.7201,0.1,0.755,0.81,-0.575
593,0.8333,0.8056,72.0,0.1,0.81,0.87,-0.565
594,0.8056,0.7639,74.4828,0.1,0.845,0.845,-0.575
595,0.7639,0.7778,78.5455,0.1,0.835,0.835,-0.54
596,0.7778,0.7722,77.1429,0.1,0.78,0.8,-0.59
597,0.7722,0.8167,77.6978,0.1,1.03,1.03,-0.57
598,0.8167,0.8167,73.4694,0.1,0.77,0.81,-0.57
599,0.8167,0.6222,73.4694,0.1,0.8,0.82,-0.595
600,0.6222,0.9861,96.4286,0.1,0.84,0.84,-0.58
601,0.9861,0.825,60.8451,0.1,0.84,0.84,-0.565
602,0.825,0.7806,72.7273,0.1,0.83,0.965,-0.54
603,0.7806,0.7472,76.8683,0.1,0.745,0.815,-0.555
604,0.7472,0.7722,80.2974,0.1,0.845,0.845,-0.565
605,0.7722,0.7833,77.6978,0.1,0.795,0.815,-0.575
606,0.7833,0.8194,76.5957,0.1,0.89,0.9,-0.56
607,0.8194,0.8083,73.2203,0.1,0.795,0.795,-0.585
608,0.8083,0.7889,74.2268,0.1,0.86,0.86,-0.57
609,0.7889,0.7722,76.0563,0.1,0.89,0.975,-0.53
610,0.7722,0.7722,77.6978,0.1,0.92,0.92,-0.535
611,0.7722,0.7472,77.6978,0.1,0.815,0.815,-0.59
612,0.7472,0.7639,80.2974,0.1,0.825,0.825,-0.595
613,0.7639,0.7944,78.5455,0.1,0.83,0.87,-0.54
614,0.7944,0.7944,75.5245,0.1,0.795,0.795,-0.54
615,0.7944,0.8333,75.5245,0.1,0.82,0.855,-0.575
616,0.8333,0.7917,72.0,0.1,0.915,0.915,-0.51
617,0.7917,0.7472,75.7895,0.1,0.79,0.86,-0.54
618,0.7472,0.7444,80.2974,0.1,0.79,0.79,-0.59
619,0.7444,0.7833,80.597,0.1,0.865,0.865,-0.645
620,0.7833,0.7528,76.5957,0.1,0.92,0.96,-0.545
621,0.7528,0.7694,79.7048,0.1,1.045,1.05,-0.55
622,0.7694,0.7583,77.9783,0.1,0.915,0.92,-0.54
623,0.7583,0.7639,79.1209,0.1,0.985,1.045,-0.55
624,0.7639,0.7611,78.5455,0.1,0.99,0.99,-0.505
625,0.7611,0.7278,78.8321,0.1,0.965,0.99,-0.505
626,0.7278,0.7139,82.4427,0.1,1.06,1.06,-0.54
627,0.7139,0.7278,84.0467,0.1,0.94,0.97,-0.56
628,0.7278,0.7306,82.4427,0.1,1.04,1.04,-0.58
629,0.7306,0.7667,82.1293,0.1,1.015,1.02,-0.515
630,0.7667,0.7528,78.2609,0.1,0.895,0.92,-0.52
631,0.7528,0.7611,79.7048,0.1,0.93,0.93,-0.575
632,0.7611,0.7361,78.8321,0.1,1.015,1.015,-0.54
633,0.7361,0.7083,81.5094,0.1,0.935,0.935,-0.525
634,0.7083,0.725,84.7059,0.1,0.86,0.9,-0.53
635,0.725,0.7278,82.7586,0.1,0.83,0.91,-0.63
636,0.7278,0.7194,82.4427,0.1,0.965,0.965,-0.56
637,0.7194,0.7556,83.3977,0.1,0.755,0.755,-0.525
638,0.7556,0.7972,79.4118,0.1,0.81,0.845,-0.505
639,0.7972,0.8,75.2613,0.1,0.885,0.925,-0.575
640,0.8,0.7583,75.0,0.1,1.02,1.02,-0.525
641,0.7583,0.7472,79.1209,0.1,0.865,0.93,-0.53
642,0.7472,0.7528,80.2974,0.1,0.965,1.05,-0.54
643,0.7528,0.7556,79.7048,0.1,0.965,0.965,-0.55
644,0.7556,0.7917,79.4118,0.1,1.135,1.175,-0.515
645,0.7917,0.8167,75.7895,0.1,0.9,0.9,-0.505
646,0.8167,0.8417,73.4694,0.1,0.935,0.935,-0.51
647,0.8417,0.8139,71.2871,0.1,0.935,1.025,-0.535
648,0.8139,0.8056,73.7201,0.1,1.05,1.125,-0.48
649,0.8056,0.8,74.4828,0.1,1.04,1.04,-0.51
650,0.8,0.7889,75.0,0.1,0.925,0.965,-0.505
651,0.7889,0.7778,76.0563,0.1,0.97,1.04,-0.49
652,0.7778,0.825,77.1429,0.1,1.04,1.04,-0.455
653,0.825,0.8833,72.7273,0.1,0.945,0.945,-0.495
654,0.8833,0.8583,67.9245,0.1,0.82,0.88,-0.595
655,0.8583,0.8083,69.9029,0.1,0.88,0.925,-0.6
656,0.8083,0.8028,74.2268,0.1,0.845,0.845,-0.605
657,0.8028,0.8,74.7405,0.1,0.855,0.855,-0.595
658,0.8,0.7944,75.0,0.1,0.89,0.9,-0.635
659,0.7944,0.7944,75.5245,0.1,0.89,0.89,-0.565
660,0.7944,0.8194,75.5245,0.1,0.935,0.985,-0.585
661,0.8194,0.8528,73.2203,0.1,0.83,0.83,-0.625
662,0.8528,0.8389,70.3583,0.1,0.985,0.985,-0.545
663,0.8389,0.7833,71.5232,0.1,0.875,0.875,-0.55
664,0.7833,0.7778,76.5957,0.1,0.87,0.88,-0.585
665,0.7778,0.7972,77.1429,0.1,1.01,1.01,-0.475
666,0.7972,0.8167,75.2613,0.1,0.875,0.875,-0.505
667,0.8167,0.8472,73.4694,0.1,0.835,0.87,-0.56
668,0.8472,0.8306,70.8197,0.1,0.875,0.9,-0.55
669,0.8306,0.8361,72.2408,0.1,0.93,0.93,-0.505
670,0.8361,0.8083,71.7608,0.1,0.875,0.875,-0.56
671,0.8083,0.8111,74.2268,0.1,0.865,0.905,-0.535
672,0.8111,0.7861,73.9726,0.1,0.885,0.885,-0.515
673,0.7861,0.775,76.3251,0.1,0.91,0.94,-0.565
674,0.775,0.8417,77.4194,0.1,0.81,0.81,-0.67
675,0.8417,0.8444,71.2871,0.1,0.895,0.895,-0.545
676,0.8444,0.8167,71.0526,0.1,0.84,0.855,-0.525
677,0.8167,0.7972,73.4694,0.1,0.835,0.835,-0.57
678,0.7972,0.7889,75.2613,0.1,0.82,0.82,-0.55
679,0.7889,0.7694,76.0563,0.1,0.91,0.91,-0.51
680,0.7694,0.7778,77.9783,0.1,0.86,0.86,-0.555
681,0.7778,0.8083,77.1429,0.1,0.86,0.86,-0.63
682,0.8083,0.7972,74.2268,0.1,0.91,0.91,-0.54
683,0.7972,0.8139,75.2613,0.1,0.845,0.845,-0.54
684,0.8139,0.8167,73.7201,0.1,0.815,0.825,-0.625
685,0.8167,0.8,73.4694,0.1,1.07,1.07,-0.595
686,0.8,0.75,75.0,0.1,1.09,1.09,-0.485
687,0.75,0.7639,80.0,0.1,0.845,0.91,-0.5
688,0.7639,0.7694,78.5455,0.1,0.785,0.785,-0.63
689,0.7694,0.8056,77.9783,0.1,0.835,0.895,-0.675
690,0.8056,0.8111,74.4828,0.1,0.875,0.935,-0.59
691,0.8111,0.7972,73.9726,0.1,0.87,0.87,-0.52
692,0.7972,0.7917,75.2613,0.1,0.815,0.855,-0.61
693,0.7917,0.7833,75.7895,0.1,0.975,1.005,-0.58
694,0.7833,0.7528,76.5957,0.1,0.995,1.03,-0.515
695,0.7528,0.7361,79.7048,0.1,0.87,0.87,-0.51
696,0.7361,0.7611,81.5094,0.1,0.85,0.85,-0.63
697,0.7611,0.7778,78.8321,0.1,1.07,1.1,-0.545
698,0.7778,0.7972,77.1429,0.1,0.99,1.01,-0.47
699,0.7972,0.7889,75.2613,0.1,0.895,0.96,-0.49
700,0.7889,0.7722,76.0563,0.1,0.865,0.915,-0.59
701,0.7722,0.7389,77.6978,0.1,1.06,1.06,-0.51
702,0.7389,0.7639,81.203,0.1,0.97,0.97,-0.535
703,0.7639,0.7417,78.5455,0.1,0.825,0.875,-0.59
704,0.7417,0.7583,80.8989,0.1,0.815,0.945,-0.635
705,0.7583,0.7778,79.1209,0.1,1.03,1.14,-0.565
706,0.7778,0.775,77.1429,0.1,0.93,0.975,-0.575
707,0.775,0.7722,77.4194,0.1,0.865,0.865,-0.645
708,0.7722,0.7611,77.6978,0.1,0.855,0.88,-0.615
709,0.7611,0.725,78.8321,0.1,0.985,0.985,-0.575
710,0.725,0.725,82.7586,0.1,0.855,0.88,-0.605
711,0.725,0.7556,82.7586,0.1,0.855,0.855,-0.615
712,0.7556,0.7639,79.4118,0.1,0.945,0.945,-0.58
713,0.7639,0.7833,78.5455,0.1,0.98,1.03,-0.545
714,0.7833,0.7944,76.5957,0.1,0.825,0.855,-0.6
715,0.7944,0.7944,75.5245,0.1,0.855,0.88,-0.63
716,0.7944,0.7583,75.5245,0.1,0.94,0.995,-0.565
717,0.7583,0.7778,79.1209,0.1,0.84,0.84,-0.6
718,0.7778,0.7722,77.1429,0.1,0.77,0.78,-0.615
719,0.7722,0.7639,77.6978,0.1,0.855,0.915,-0.61
720,0.7639,0.7778,78.5455,0.1,1.015,1.07,-0.55
721,0.7778,0.8444,77.1429,0.1,0.89,0.895,-0.56
722,0.8444,0.8361,71.0526,0.1,0.86,0.885,-0.545
723,0.8361,0.7722,71.7608,0.1,0.945,0.945,-0.585
724,0.7722,0.775,77.6978,0.1,0.96,0.96,-0.525
725,0.775,0.7556,77.4194,0.1,0.945,0.945,-0.545
726,0.7556,0.775,79.4118,0.1,0.83,0.86,-0.595
727,0.775,0.7694,77.4194,0.1,0.955,0.955,-0.56
728,0.7694,0.7944,77.9783,0.1,0.97,1.03,-0.515
729,0.7944,0.8083,75.5245,0.1,0.84,0.84,-0.555
730,0.8083,0.8417,74.2268,0.1,0.815,0.815,-0.6
731,0.8417,0.7778,71.2871,0.1,0.825,0.865,-0.68
732,0.7778,0.7583,77.1429,0.1,0.855,0.88,-0.635
733,0.7583,0.7528,79.1209,0.1,0.715,0.775,-0.615
734,0.7528,0.7611,79.7048,0.1,0.805,0.805,-0.59
735,0.7611,0.7722,78.8321,0.1,0.9,0.9,-0.545
736,0.7722,0.8111,77.6978,0.1,0.92,0.945,-0.52
737,0.8111,0.8083,73.9726,0.1,0.79,0.82,-0.54
738,0.8083,0.8056,74.2268,0.1,0.75,0.82,-0.63
739,0.8056,0.7861,74.4828,0.1,0.85,0.85,-0.595
740,0.7861,0.7722,76.3251,0.1,0.89,0.89,-0.595
741,0.7722,0.7639,77.6978,0.1,0.775,0.775,-0.625
742,0.7639,0.7667,78.5455,0.1,0.875,0.875,-0.57
743,0.7667,0.775,78.2609,0.1,0.84,0.905,-0.555
744,0.775,0.8056,77.4194,0.1,0.83,0.85,-0.525
745,0.8056,0.825,74.4828,0.1,0.835,0.835,-0.535
746,0.825,0.7694,72.7273,0.1,0.865,0.865,-0.565
747,0.7694,0.7611,77.9783,0.1,0.85,0.85,-0.56
748,0.7611,0.7639,78.8321,0.1,0.84,0.84,-0.57
749,0.7639,0.7806,78.5455,0.1,0.785,0.845,-0.56
750,0.7806,0.7444,76.8683,0.1,0.87,0.87,-0.63
751,0.7444,0.7778,80.597,0.1,0.835,0.895,-0.61
752,0.7778,0.8,77.1429,0.1,0.725,0.775,-0.595
753,0.8,0.7972,75.0,0.1,0.665,0.7,-0.64
754,0.7972,0.7889,75.2613,0.1,0.775,0.775,-0.69
755,0.7889,0.7583,76.0563,0.1,0.805,0.805,-0.61
756,0.7583,0.7417,79.1209,0.1,0.78,0.78,-0.585
757,0.7417,0.7639,80.8989,0.1,0.755,0.755,-0.61
758,0.7639,0.7861,78.5455,0.1,0.885,0.92,-0.615
759,0.7861,0.7972,76.3251,0.1,0.83,0.83,-0.565
760,0.7972,0.8083,75.2613,0.1,0.74,0.77,-0.585
761,0.8083,0.8056,74.2268,0.1,0.79,0.79,-0.64
762,0.8056,0.775,74.4828,0.1,0.835,0.835,-0.61
763,0.775,0.7778,77.4194,0.1,0.885,0.885,-0.53
764,0.7778,0.7722,77.1429,0.1,0.835,0.835,-0.5
765,0.7722,0.775,77.6978,0.1,0.8,0.865,-0.52
766,0.775,0.7694,77.4194,0.1,0.92,0.92,-0.505
767,0.7694,0.8278,77.9783,0.1,0.85,0.855,-0.525
768,0.8278,0.8167,72.4832,0.1,0.79,0.79,-0.53
769,0.8167,0.7972,73.4694,0.1,0.975,1.02,-0.525
770,0.7972,0.7472,75.2613,0.1,0.95,1.02,-0.5
771,0.7472,0.7611,80.2974,0.1,0.855,0.91,-0.485
772,0.7611,0.7861,78.8321,0.1,0.85,0.85,-0.49
773,0.7861,0.7889,76.3251,0.1,1.05,1.095,-0.53
774,0.7889,0.7917,76.0563,0.1,0.925,0.925,-0.56
775,0.7917,0.8139,75.7895,0.1,0.775,0.82,-0.595
776,0.8139,0.8333,73.7201,0.1,0.77,0.785,-0.59
777,0.8333,0.7944,72.0,0.1,0.92,0.92,-0.615
778,0.7944,0.7639,75.5245,0.1,0.92,0.92,-0.535
779,0.7639,0.7639,78.5455,0.1,0.8,0.815,-0.575
780,0.7639,0.7694,78.5455,0.1,0.78,0.78,-0.625
781,0.7694,0.7694,77.9783,0.1,0.845,0.845,-0.61
782,0.7694,0.8167,77.9783,0.1,0.86,0.89,-0.58
783,0.8167,0.8083,73.4694,0.1,0.77,0.77,-0.605
784,0.8083,0.7917,74.2268,0.1,0.84,0.84,-0.65
785,0.7917,0.7667,75.7895,0.1,0.89,0.965,-0.58
786,0.7667,0.7778,78.2609,0.1,0.86,0.92,-0.55
787,0.7778,0.7667,77.1429,0.1,0.83,0.83,-0.585
788,0.7667,0.7333,78.2609,0.1,0.82,0.87,-0.57
789,0.7333,0.7806,81.8182,0.1,0.91,0.91,-0.55
790,0.7806,0.8139,76.8683,0.1,0.825,0.9,-0.57
791,0.8139,0.8167,73.7201,0.1,0.8,0.83,-0.63
792,0.8167,0.7778,73.4694,0.1,0.895,0.92,-0.54
793,0.7778,0.7694,77.1429,0.1,1.025,1.025,-0.45
794,0.7694,0.7528,77.9783,0.1,0.93,0.935,-0.525
795,0.7528,0.7806,79.7048,0.1,1.035,1.035,-0.535
796,0.7806,0.7556,76.8683,0.1,0.945,0.945,-0.575
797,0.7556,0.7694,79.4118,0.1,0.87,0.87,-0.56
798,0.7694,0.8056,77.9783,0.1,0.98,1.015,-0.545
799,0.8056,0.7806,74.4828,0.1,0.9,0.9,-0.58
800,0.7806,0.7861,76.8683,0.1,1.055,1.09,-0.5
801,0.7861,0.7639,76.3251,0.1,0.905,0.935,-0.57
802,0.7639,0.7583,78.5455,0.1,0.76,0.76,-0.63
803,0.7583,0.7306,79.1209,0.1,0.79,0.8,-0.67
804,0.7306,0.7722,82.1293,0.1,0.84,0.855,-0.595
805,0.7722,0.8111,77.6978,0.1,0.85,0.855,-0.6
806,0.8111,0.7944,73.9726,0.1,0.83,0.83,-0.59
807,0.7944,0.7833,75.5245,0.1,0.84,0.885,-0.565
808,0.7833,0.7889,76.5957,0.1,0.905,0.94,-0.495
809,0.7889,0.7667,76.0563,0.1,0.885,0.885,-0.55
810,0.7667,0.7722,78.2609,0.1,0.81,0.81,-0.63
811,0.7722,0.7528,77.6978,0.1,0.86,0.86,-0.57
812,0.7528,0.7667,79.7048,0.1,0.865,0.865,-0.525
813,0.7667,0.825,78.2609,0.1,0.82,0.82,-0.53
814,0.825,0.8306,72.7273,0.1,0.825,0.825,-0.59
815,0.8306,0.7806,72.2408,0.1,0.835,0.92,-0.545
816,0.7806,0.7639,76.8683,0.1,0.775,0.82,-0.52
817,0.7639,0.7694,78.5455,0.1,0.73,0.74,-0.565
818,0.7694,0.7472,77.9783,0.1,0.82,0.82,-0.615
819,0.7472,0.7583,80.2974,0.1,0.845,0.89,-0.565
820,0.7583,0.7889,79.1209,0.1,0.9,0.9,-0.545
821,0.7889,0.7917,76.0563,0.1,0.865,0.865,-0.53
822,0.7917,0.7972,75.7895,0.1,0.9,0.94,-0.49
823,0.7972,0.7972,75.2613,0.1,0.92,0.945,-0.45
824,0.7972,0.7667,75.2613,0.1,0.84,0.84,-0.505
825,0.7667,0.7333,78.2609,0.1,0.825,0.825,-0.565
